"genes"	"NF54.37.1"	"NF54.37.2"	"NF54.41.1"	"NF54.41.2"	"PB4.37.1"	"PB4.37.2"	"PB4.41.1"	"PB4.41.2"	"PB31.37.1"	"PB31.37.2"	"PB31.41.1"	"PB31.41.2"
"PF3D7.0100400"	10.32	11.03	35.8	25.79	2.57	11.55	9.46	14.36	7.76	7.37	19.55	24.92
"PF3D7.0101300"	25.88	5.52	85.41	90.29	3.16	1.32	35.09	13.22	1.6	13.46	40.27	55.37
"PF3D7.0102200"	2389.16	4652.81	306.04	346.54	3037.86	5920.14	651.5	1975.39	1491.72	5610.42	1137.28	512.04
"PF3D7.0102300"	191.82	171.61	759.37	580.01	287.87	161.51	211.86	113.42	551.41	363.05	195.16	289.62
"PF3D7.0102500"	108.54	270.14	18.21	21.46	146.73	327.42	32.89	111.85	417.86	663.07	115.62	27.98
"PF3D7.0102700"	54.87	61.3	14.77	14.75	75.6	89.21	19.98	26.76	33.37	120.07	35.13	16.64
"PF3D7.0103300"	69.5	65.82	60.7	69.97	61.48	74.59	84.05	82.39	58.59	97.02	64.25	82.64
"PF3D7.0103400"	73.71	77.21	81.86	78.27	92.63	100.49	71.81	72.5	143.91	202.2	103.5	108.79
"PF3D7.0104200"	96.88	157.87	45.47	65.98	74.37	145.82	35.49	89.39	241.96	242.85	120.73	53.04
"PF3D7.0104300"	130.42	204.78	49.58	68	135.98	200.59	80.65	140.92	133.26	338.52	82.18	79.45
"PF3D7.0104400"	85.8	104.34	104.17	110.21	98.16	136.17	74.6	72.61	173.63	122.37	114.92	90.12
"PF3D7.0104800"	26.9	35.51	14.75	6.29	32.79	43.77	20.33	18.89	39.04	52.61	25.1	26.28
"PF3D7.0104900"	38.5	28.89	67.92	56.77	51.62	71	46.28	43.38	14.79	41.76	35.9	45.98
"PF3D7.0105000"	42.09	40.39	42.28	32.61	78.54	85.39	48.41	42.18	42.36	65.5	74.15	37.72
"PF3D7.0105200"	28.99	20.51	82.17	70.8	34.96	34.16	77.33	41.25	34.73	37.15	59.15	62.33
"PF3D7.0105300"	177.53	185.54	78.09	42.28	114.22	249.96	61.71	88.12	573.08	278.8	159.36	62.37
"PF3D7.0105800"	59.52	82.23	62.79	56.34	88.01	109.9	33.58	40.31	237.4	166.63	70.7	40.72
